experiment,method,byz_ratio,seed,param_name,param_value,asr,fpr,balanced_accuracy,tn,fp,fn,tp,elapsed_s
exp1_pd,bst_gm,0.4,1819,p_d,0.6,0.0226058032326298,2.100915783803196,98.93823920648208,5452,117,14,61917,179.2
exp1_pd,bst_gm,0.4,2021,p_d,0.6,0.0161470023090213,2.316394325731729,98.83372933597964,5440,129,10,61921,177.6
exp1_pd,bst_gm,0.4,42,p_d,0.7,0.0226058032326298,0.5027832644999102,99.73730546613372,5541,28,14,61917,176.9
exp1_pd,bst_gm,0.4,123,p_d,0.7,0.0242205034635319,0.8619141677141318,99.55693266441116,5521,48,15,61916,177.3
exp1_pd,bst_gm,0.4,456,p_d,0.7,0.0290646041562383,1.1133057999640867,99.42881479793984,5507,62,18,61913,177.2
exp1_pd,bst_gm,0.4,789,p_d,0.7,0.0274499039253362,0.2873047225713773,99.84262268675164,5553,16,17,61914,178.0
exp1_pd,bst_gm,0.4,1011,p_d,0.7,0.0322940046180426,0.4309570838570659,99.76837445576244,5545,24,20,61911,179.0
exp1_pd,bst_gm,0.4,1415,p_d,0.7,0.0209911030017277,0.7900879870712875,99.5944604549635,5525,44,13,61918,177.5
exp1_pd,bst_gm,0.4,1617,p_d,0.7,0.0274499039253362,0.6284790806248878,99.6720355077249,5534,35,17,61914,177.2
exp1_pd,bst_gm,0.4,1819,p_d,0.7,0.0226058032326298,2.2804812354103072,98.84845648067852,5442,127,14,61917,177.6
exp1_pd,bst_gm,0.4,2021,p_d,0.7,0.0177617025399234,2.082959238642485,98.94963952940878,5453,116,11,61920,177.5
exp2_pfp,bst_gm,0.4,42,p_fp,0.04,0.0209911030017277,0.4848267193391991,99.74709108882954,5542,27,13,61918,177.6
exp2_pfp,bst_gm,0.4,123,p_fp,0.04,0.0226058032326298,0.8260010773927096,99.57569655968732,5523,46,14,61917,176.6
exp2_pfp,bst_gm,0.4,456,p_fp,0.04,0.0274499039253362,1.1492188902855092,99.41166560289456,5505,64,17,61914,178.0
exp2_pfp,bst_gm,0.4,789,p_fp,0.04,0.0306793043871405,0.3052612677320883,99.8320297139404,5552,17,19,61912,177.6
exp2_pfp,bst_gm,0.4,1011,p_fp,0.04,0.0290646041562383,0.4130005386963548,99.77896742857372,5546,23,18,61913,177.6
exp2_pfp,bst_gm,0.4,1415,p_fp,0.04,0.0209911030017277,0.8080445322319986,99.58548218238312,5524,45,13,61918,178.5
exp2_pfp,bst_gm,0.4,1617,p_fp,0.04,0.0290646041562383,0.5386963548213324,99.71611952051124,5539,30,18,61913,178.9
exp2_pfp,bst_gm,0.4,1819,p_fp,0.04,0.0226058032326298,1.9393068773567963,99.01904365970528,5461,108,14,61917,178.4
exp2_pfp,bst_gm,0.4,2021,p_fp,0.04,0.0161470023090213,2.262524690249596,98.86066415372068,5443,126,10,61921,178.1
exp2_pfp,bst_gm,0.4,42,p_fp,0.08,0.0226058032326298,0.5027832644999102,99.73730546613372,5541,28,14,61917,177.8
exp2_pfp,bst_gm,0.4,123,p_fp,0.08,0.0242205034635319,0.8619141677141318,99.55693266441116,5521,48,15,61916,176.3
exp2_pfp,bst_gm,0.4,456,p_fp,0.08,0.0290646041562383,1.1133057999640867,99.42881479793984,5507,62,18,61913,176.3
exp2_pfp,bst_gm,0.4,789,p_fp,0.08,0.0274499039253362,0.2873047225713773,99.84262268675164,5553,16,17,61914,177.0
exp2_pfp,bst_gm,0.4,1011,p_fp,0.08,0.0322940046180426,0.4309570838570659,99.76837445576244,5545,24,20,61911,177.5
exp2_pfp,bst_gm,0.4,1415,p_fp,0.08,0.0209911030017277,0.7900879870712875,99.5944604549635,5525,44,13,61918,177.8
exp2_pfp,bst_gm,0.4,1617,p_fp,0.08,0.0274499039253362,0.6284790806248878,99.6720355077249,5534,35,17,61914,178.8
exp2_pfp,bst_gm,0.4,1819,p_fp,0.08,0.0226058032326298,2.2804812354103072,98.84845648067852,5442,127,14,61917,178.4
exp2_pfp,bst_gm,0.4,2021,p_fp,0.08,0.0177617025399234,2.082959238642485,98.94963952940878,5453,116,11,61920,178.0
exp2_pfp,bst_gm,0.4,42,p_fp,0.12,0.0226058032326298,0.5566528999820434,99.71037064839264,5538,31,14,61917,178.3
exp2_pfp,bst_gm,0.4,123,p_fp,0.12,0.0209911030017277,0.8439576225534207,99.56752563722242,5522,47,13,61918,178.0
exp2_pfp,bst_gm,0.4,456,p_fp,0.12,0.0274499039253362,1.1851319806069314,99.39370905773389,5503,66,17,61914,178.2
