method,byz_ratio,seed,n_byz,byz_ids,asr,fpr,balanced_accuracy,accuracy,precision,recall,f1,tn,fp,fn,tp,elapsed_s
cwtm,0.2,1819,2,"[6, 7]",0.019376,1.310828,99.334898,0.998741,0.998822,0.999806,0.999314,5496,73,12,61919,178.6
gm,0.2,1819,2,"[6, 7]",0.020991,1.849524,99.064742,0.998281,0.998339,0.99979,0.999064,5466,103,13,61918,180.3
trust_gm,0.2,1819,2,"[6, 7]",0.014532,1.741785,99.121841,0.99843,0.998436,0.999855,0.999145,5472,97,9,61922,181.9
bst_gm,0.2,1819,2,"[6, 7]",0.019376,1.50835,99.236137,0.998578,0.998645,0.999806,0.999225,5485,84,12,61919,178.3
fedavg,0.3,1819,3,"[5, 6, 7]",0.093653,2.621656,98.642346,0.996978,0.997646,0.999063,0.998354,5423,146,58,61873,178.4
cwtm,0.3,1819,3,"[5, 6, 7]",0.046826,1.580176,99.186499,0.998267,0.99858,0.999532,0.999056,5481,88,29,61902,179.6
gm,0.3,1819,3,"[5, 6, 7]",0.024221,3.663135,98.156322,0.996756,0.996716,0.999758,0.998235,5365,204,15,61916,181.4
trust_gm,0.3,1819,3,"[5, 6, 7]",0.020991,1.97522,99.001894,0.998178,0.998227,0.99979,0.999008,5459,110,13,61918,182.3
bst_gm,0.3,1819,3,"[5, 6, 7]",0.020991,1.418567,99.280221,0.998637,0.998726,0.99979,0.999258,5490,79,13,61918,182.1
fedavg,0.4,1819,4,"[3, 5, 6, 7]",3.867207,10.378883,92.876955,0.955956,0.990385,0.961328,0.97564,4991,578,2395,59536,179.9
cwtm,0.4,1819,4,"[3, 5, 6, 7]",0.050056,11.994972,93.977486,0.989644,0.989324,0.999499,0.994385,4901,668,31,61900,178.9
gm,0.4,1819,4,"[3, 5, 6, 7]",0.29549,13.629018,93.037746,0.986044,0.987857,0.997045,0.99243,4810,759,183,61748,181.4
trust_gm,0.4,1819,4,"[3, 5, 6, 7]",0.016147,9.086012,95.448921,0.992356,0.991895,0.999839,0.995851,5063,506,10,61921,181.6
bst_gm,0.4,1819,4,"[3, 5, 6, 7]",0.022606,2.280481,98.848456,0.997911,0.997953,0.999774,0.998863,5442,127,14,61917,182.6
