experiment,method,byz_ratio,seed,param_name,param_value,asr,fpr,balanced_accuracy,tn,fp,fn,tp,elapsed_s
exp1_pd,bst_gm,0.4,42,p_d,0.3,0.029064604156238395,0.44891362901777704,99.761010883413,5544,25,18,61913,189.7
exp1_pd,bst_gm,0.4,123,p_d,0.3,0.024220503463531995,0.7900879870712875,99.5928457547326,5525,44,15,61916,177.0
exp1_pd,bst_gm,0.4,456,p_d,0.3,0.03552340507984693,1.2390016160890645,99.36273748941554,5500,69,22,61909,176.6
exp1_pd,bst_gm,0.4,789,p_d,0.3,0.04198220600345546,0.4668701741784881,99.74557380990903,5543,26,26,61905,176.9
exp1_pd,bst_gm,0.4,1011,p_d,0.3,0.03067930438714053,0.3770874483749327,99.79611662361896,5548,21,19,61912,177.3
exp1_pd,bst_gm,0.4,1415,p_d,0.3,0.022605803232629864,0.9157838031962651,99.53080519678555,5518,51,14,61917,177.1
exp1_pd,bst_gm,0.4,1617,p_d,0.3,0.04521160646525973,5.386963548213323,97.2839124226607,5269,300,28,61903,177.2
exp1_pd,bst_gm,0.4,1819,p_d,0.3,0.02099110300172773,2.0111330579996407,98.98393791949931,5457,112,13,61918,177.1
exp1_pd,bst_gm,0.4,2021,p_d,0.3,0.019376402770825595,2.0111330579996407,98.98474526961476,5457,112,12,61919,176.6
exp1_pd,bst_gm,0.4,42,p_d,0.4,0.024220503463531995,0.4130005386963548,99.78138947892006,5546,23,15,61916,177.3
exp1_pd,bst_gm,0.4,123,p_d,0.4,0.02744990392533626,0.6105225354641767,99.68101378030525,5535,34,17,61914,177.3
exp1_pd,bst_gm,0.4,456,p_d,0.4,0.02744990392533626,0.9696534386783983,99.50144832869813,5515,54,17,61914,177.5
exp1_pd,bst_gm,0.4,789,p_d,0.4,0.024220503463531995,0.39504399353564373,99.79036775150041,5547,22,15,61916,176.7
exp1_pd,bst_gm,0.4,1011,p_d,0.4,0.02583520369443413,0.48482671933919913,99.74466903848318,5542,27,16,61915,176.3
