exp_id,method,malicious,seed,round,accuracy,precision,recall,f1,tn,fp,fn,tp,fpr,fnr,time_sec,asr,training_time_sec,avg_trust_mal,avg_trust_ben,avg_trust_malicious,avg_trust_benign,acc_drop
E00_fedavg_0pct,fedavg,0.0,42,30,0.9904468198576298,0.99026380337388,0.999419015863393,0.9948203464836187,3150,389,23,39565,0.10991805594800791,0.0005809841366070526,6.172609567642212,0.058098413660705256,193.0409643650055,,,,,0.0
E01_krum_0pct,krum,0.0,42,30,0.9806849537412757,0.9796529617069729,0.9997221380216227,0.9895858076937503,2717,822,11,39577,0.23226900254309127,0.00027786197837728605,6.264887809753418,0.027786197837728604,196.110121011734,,,,,0.0
E02_gm_0pct,gm,0.0,42,30,0.990168571892318,0.9899664715007757,0.999419015863393,0.9946702868491842,3138,401,23,39565,0.11330884430630121,0.0005809841366070526,6.290113687515259,0.058098413660705256,196.40036964416504,,,,,0.0
E03_trust_gm_0pct,trust_gm,0.0,42,30,0.9908641918055974,0.9907347122752541,0.9993937556835405,0.9950453962425493,3169,370,24,39564,0.10454930771404351,0.0006062443164595332,6.268383264541626,0.06062443164595332,198.50241923332214,1.0,0.8888888888888888,1.0,0.8888888888888888,0.0
E04_fedavg_40pct,fedavg,0.4,42,30,0.9359334059869687,0.998510897522675,0.9315954329594827,0.9638932085778132,3484,55,2708,36880,0.015541113308844307,0.06840456704051733,6.252455234527588,6.840456704051732,195.2162322998047,,,,,0.05451341387066111
E05_krum_40pct,krum,0.4,42,30,0.9953857212419134,0.9983552215390066,0.9966151358997676,0.9974844198364241,3474,65,134,39454,0.018366770274088725,0.0033848641002323936,6.326600551605225,0.33848641002323937,198.13389468193054,,,,,-0.014700767500637646
E06_gm_40pct,gm,0.4,42,30,0.9974262063208663,0.9993169917280109,0.9978781448923917,0.9985970500132711,3512,27,84,39504,0.007629273806159932,0.002121855107608366,6.3243114948272705,0.2121855107608366,198.7673635482788,,,,,-0.007257634428548321
E07_trust_gm_40pct,trust_gm,0.4,42,30,0.996985647042456,0.997980715836236,0.998736991007376,0.9983587101987224,3459,80,50,39538,0.022605255721955354,0.0012630089926240274,6.319243669509888,0.12630089926240273,198.107262134552,0.15,0.9166666666666666,0.15,0.9166666666666666,-0.006121455236858586
E08_fedavg_20pct,fedavg,0.2,42,30,0.9904004451967445,0.9905580044079343,0.9990653733454582,0.9947935006791087,3162,377,37,39551,0.1065272675897146,0.0009346266545417803,6.211330890655518,0.09346266545417803,193.72988271713257,,,,,4.637466088530662e-05
E09_krum_20pct,krum,0.2,42,30,0.9894033899877107,0.9909170743946807,0.9976002829140144,0.9942474478556953,3177,362,95,39493,0.10228878214184799,0.002399717085985652,6.536750555038452,0.23997170859856523,196.83940410614014,,,,,-0.00871843624643498
E10_gm_20pct,gm,0.2,42,30,0.9903772578663018,0.9903858190831476,0.9992169344245732,0.9947817777163047,3155,384,31,39557,0.1085052274653857,0.000783065575426897,6.384463548660278,0.0783065575426897,196.01198148727417,,,,,-0.00020868597398382427
E11_trust_gm_20pct,trust_gm,0.2,42,30,0.9915829990493195,0.9917755322083197,0.9991158937051632,0.995432181102065,3211,328,35,39553,0.09268154846001696,0.0008841062948368192,6.310211420059204,0.08841062948368192,196.4668893814087,0.15,0.875,0.15,0.875,-0.000718807243722086
E12_fedavg_30pct,fedavg,0.3,42,30,0.995153847937487,0.998910426960598,0.9958068101444882,0.9973562040656269,3496,43,166,39422,0.012150324950551003,0.004193189855511772,6.605336904525757,0.41931898555117714,194.71318697929382,,,,,-0.004707028079857123
E13_krum_30pct,krum,0.3,42,30,0.9828877501333272,0.981938172976728,0.9997473982014752,0.9907627606578717,2811,728,10,39578,0.20570782706979374,0.0002526017985248055,6.227664470672607,0.02526017985248055,195.74212384223938,,,,,-0.0022027963920514537
E14_gm_30pct,gm,0.3,42,30,0.9911192524404665,0.9909339076861429,0.9994695362230979,0.9951834198976319,3177,362,21,39567,0.10228878214184799,0.0005304637769020915,6.242859601974487,0.05304637769020915,196.21693444252014,,,,,-0.0009506805481485081
E15_trust_gm_30pct,trust_gm,0.3,42,30,0.9935307348065018,0.9940426815473946,0.9989390724461958,0.9964848622292777,3302,237,42,39546,0.06696807007629274,0.001060927553804183,6.280797719955444,0.1060927553804183,196.32235074043274,0.15,0.8571428571428571,0.15,0.8571428571428571,-0.002666543000904409
